" Población Total por Edades y Sexo"

"SEXO",,"VARON","MUJER","TOTAL",
,,POBLACION,POBLACION,POBLACION
FECHA,EDAD,Sum,Sum,Sum
,"  52",14405.362038,13633.923776,28039.285814
,"  53",13831.675516,13497.131969,27328.807485
,"  54",14771.559258,14632.957596,29404.516854
,"  55",14202.226348,13857.585048,28059.811396
,"  56",14395.200057,14081.798555,28476.998611
,"  57",12618.910182,12769.268741,25388.178923
,"  58",12078.548518,12127.464279,24206.012797
,"  59",13433.067275,14009.399265,27442.466539
,"  60",9964.5737407,10458.623246,20423.196987
,"  61", 10605.36274,11146.258164,21751.620904
,"  62",12174.830562, 12989.50229,25164.332852
,"  63",14952.946626,16505.569733,31458.516359
,"  64",14232.977776,15474.770804, 29707.74858
,"  65",14600.626883,15810.504898,30411.131781
,"  66",14780.466902,16080.031755,30860.498658
,"  67",15147.630368,16653.117485,31800.747852
,"  68",14512.415916,15955.141552,30467.557467
,"  69",14650.487533,16656.749016,31307.236549
,"  70",13441.600199,15607.003183,29048.603382
,"  71",13813.578114,16080.127219,29893.705333
,"  72",12737.662638,15198.456331,27936.118968
,"  73", 12981.32273,15530.571653,28511.894384
,"  74",11791.474111,14538.162265,26329.636375
,"  75",11446.285368,14386.702656,25832.988024
,"  76",11097.744832,14172.962466,25270.707298
,"  77",10491.279726,13767.613811,24258.893536
,"  78",9659.0430556,12339.744007,21998.787062
,"  79",7868.4155041,11444.178743,19312.594248
,"  80",6315.4574767,9580.6625542,15896.120031
,"  81",5576.4530462,9378.8003882,14955.253434
,"  82",5157.1760791,8586.7973088,13743.973388
,"  83",4798.2662221,8196.1175721,12994.383794
,"  84",4437.8632814,7936.6996375,12374.562919
,"  85",3877.3880309,7343.3105421,11220.698573
,"  86",3571.3168313,6870.1026724,10441.419504
,"  87",3105.9131507,6085.5714918,9191.4846425
,"  88",2713.4489594, 5274.088914,7987.5378734
,"  89",2272.2228317,4533.6343723, 6805.857204
,"  90",1896.9300928,3831.3608298,5728.2909226
,"  91",1528.6788201, 2991.836815,4520.5156351
,"  92", 1130.279218,2324.3394547,3454.6186727
